,sounding_id,latitude,longitude,time,solar_zenith_angle,sensor_zenith_angle,xco2_quality_flag,xco2,xco2_uncertainty,xco2_apriori,pressure_levels,co2_profile_apriori,pressure_weight,dates
0,20160101003301,-74.99241,162.84126,1451608383.2489893,52.18388,26.974253,1,401.64148,3.5668097,399.33536,"[9.88730118e-02 5.20384331e+01 1.04076866e+02 1.56115280e+02
 2.08153732e+02 2.60192169e+02 3.12230560e+02 3.64269012e+02
 4.16307465e+02 4.68345886e+02 5.20384338e+02 5.72422729e+02
 6.24461121e+02 6.76499573e+02 7.28538025e+02 7.80576477e+02
 8.32614929e+02 8.84653259e+02 9.36691772e+02 9.88730164e+02]","[390.62393 394.52307 396.2118  397.50745 398.59927 399.5578  400.20288
 400.24292 400.2803  400.31522 400.3479  400.3788  400.40823 400.43658
 400.4641  400.506   400.55444 400.60114 400.64566 400.6877 ]","[0.02642612 0.05283972 0.05279829 0.05275087 0.05271863 0.05269362
 0.05267295 0.05265574 0.05264037 0.05262603 0.05261225 0.05259832
 0.05258503 0.05257126 0.05255444 0.0525318  0.05250461 0.05249075
 0.05248731 0.0262419 ]",2016-01-01 00:33:01
1,20160101003306,-74.98562,162.85953,1451608387.9745722,52.175323,25.909986,1,405.4249,3.7698658,399.33542,"[9.88170952e-02 5.20090027e+01 1.04018005e+02 1.56026993e+02
 2.08036011e+02 2.60045013e+02 3.12053986e+02 3.64062988e+02
 4.16072021e+02 4.68081055e+02 5.20090027e+02 5.72098999e+02
 6.24107971e+02 6.76117004e+02 7.28125977e+02 7.80135071e+02
 8.32144043e+02 8.84153015e+02 9.36162109e+02 9.88171082e+02]","[390.62393 394.52325 396.21204 397.50775 398.59964 399.5582  400.20297
 400.243   400.28036 400.31528 400.348   400.37888 400.4083  400.4366
 400.4641  400.506   400.55438 400.601   400.64548 400.68744]","[0.02642539 0.05283831 0.05279696 0.05274959 0.05271739 0.05269245
 0.05267187 0.05265471 0.0526394  0.05262513 0.05261147 0.05259772
 0.05258463 0.05257115 0.05255492 0.05253338 0.05250804 0.05249431
 0.05248993 0.02624325]",2016-01-01 00:33:06
2,20160101003311,-74.97762,162.87798,1451608392.4680903,52.165585,25.049591,1,410.6839,4.6878767,399.33542,"[9.8814592e-02 5.2007679e+01 1.0401536e+02 1.5602304e+02 2.0803072e+02
 2.6003842e+02 3.1204608e+02 3.6405374e+02 4.1606143e+02 4.6806912e+02
 5.2007684e+02 5.7208447e+02 6.2409216e+02 6.7609985e+02 7.2810748e+02
 7.8011523e+02 8.3212286e+02 8.8413055e+02 9.3613824e+02 9.8814594e+02]","[390.62393 394.52322 396.212   397.50772 398.5996  399.5581  400.20303
 400.2431  400.28046 400.31534 400.34802 400.37888 400.4083  400.43658
 400.46405 400.50592 400.55423 400.6008  400.64523 400.68713]","[0.02642577 0.05283907 0.05279771 0.05275033 0.05271812 0.05269315
 0.05267251 0.05265532 0.05263998 0.05262566 0.05261191 0.05259803
 0.05258478 0.0525711  0.05255456 0.05253257 0.05250672 0.05249258
 0.05248794 0.0262422 ]",2016-01-01 00:33:11
3,20160101003343,-74.41205,141.7354,1451608424.850695,53.842747,26.970304,1,404.74084,3.4050837,399.04263,"[7.03736544e-02 3.70387688e+01 7.40775375e+01 1.11116295e+02
 1.48155075e+02 1.85193848e+02 2.22232590e+02 2.59271362e+02
 2.96310150e+02 3.33348907e+02 3.70387695e+02 4.07426422e+02
 4.44465179e+02 4.81503967e+02 5.18542725e+02 5.55581482e+02
 5.92620300e+02 6.29659058e+02 6.66697815e+02 7.03736572e+02]","[390.60638 394.12082 395.64288 396.8108  397.7955  398.66165 399.43964
 400.19516 400.22238 400.24826 400.2729  400.29623 400.31845 400.33954
 400.35974 400.37906 400.39774 400.41577 400.43332 400.4505 ]","[0.02641875 0.05282503 0.05278336 0.05273554 0.0527034  0.05267914
 0.05265943 0.05264255 0.05262762 0.05261369 0.05260031 0.05258905
 0.05258089 0.0525724  0.05256278 0.05255274 0.05254223 0.05253173
 0.05252124 0.02625813]",2016-01-01 00:33:43
4,20160101003506,-77.64846,125.245255,1451608507.8219607,58.84281,26.956215,1,409.4909,3.54683,398.87863,"[6.6175178e-02 3.4829041e+01 6.9658081e+01 1.0448713e+02 1.3931616e+02
 1.7414522e+02 2.0897426e+02 2.4380330e+02 2.7863232e+02 3.1346136e+02
 3.4829044e+02 3.8311945e+02 4.1794852e+02 4.5277756e+02 4.8760660e+02
 5.2243567e+02 5.5726465e+02 5.9209369e+02 6.2692273e+02 6.6175177e+02]","[390.59778 393.92297 395.36304 396.4681  397.39963 398.22092 398.9606
 399.6445  400.16983 400.19684 400.22327 400.24915 400.27444 400.29922
 400.32358 400.3475  400.37103 400.39426 400.41724 400.43994]","[0.02641887 0.05282517 0.05278341 0.05273557 0.05270337 0.05267907
 0.0526594  0.05264258 0.05262781 0.05261451 0.05260215 0.05259058
 0.05257954 0.05256953 0.05256128 0.05255252 0.05254224 0.05253183
 0.05252194 0.02625865]",2016-01-01 00:35:06
5,20160101003538,-81.4342,143.22995,1451608539.9725006,59.500965,24.800102,1,409.1391,2.548243,398.6797,"[7.3693596e-02 3.8786102e+01 7.7572205e+01 1.1635830e+02 1.5514441e+02
 1.9393053e+02 2.3271660e+02 2.7150272e+02 3.1028882e+02 3.4907492e+02
 3.8786105e+02 4.2664713e+02 4.6543320e+02 5.0421933e+02 5.4300543e+02
 5.8179156e+02 6.2057764e+02 6.5936371e+02 6.9814984e+02 7.3693591e+02]","[390.58768 393.69116 395.03522 396.0666  396.9361  397.7021  398.3946
 399.0318  399.62442 400.1351  400.1707  400.20642 400.24228 400.2783
 400.3144  400.35062 400.3869  400.42325 400.45966 400.49612]","[0.02642011 0.05282776 0.05278635 0.05273871 0.0527063  0.05268167
 0.05266172 0.05264495 0.05263032 0.05261714 0.0526049  0.0525931
 0.05258078 0.05256752 0.05255588 0.05254754 0.05253899 0.0525267
 0.05251466 0.0262549 ]",2016-01-01 00:35:38
6,20160101003547,-83.172424,128.8181,1451608549.1905556,62.04252,26.940088,1,412.71274,4.0766635,398.64612,"[6.8107530e-02 3.5846069e+01 7.1692139e+01 1.0753821e+02 1.4338428e+02
 1.7923036e+02 2.1507642e+02 2.5092250e+02 2.8676855e+02 3.2261465e+02
 3.5846072e+02 3.9430679e+02 4.3015283e+02 4.6599893e+02 5.0184500e+02
 5.3769110e+02 5.7353711e+02 6.0938318e+02 6.4522931e+02 6.8107538e+02]","[390.58685 393.67233 395.00864 396.034   396.89847 397.66003 398.3483
 398.98288 399.57242 400.10754 400.15042 400.18265 400.2153  400.24838
 400.28186 400.31567 400.34982 400.38422 400.41882 400.4536 ]","[0.0264199  0.05282708 0.05278519 0.05273725 0.05270473 0.05268008
 0.05266013 0.05264334 0.05262868 0.05261553 0.05260323 0.05259134
 0.05258067 0.05257094 0.05256084 0.05254988 0.05253868 0.05252795
 0.05251796 0.02625662]",2016-01-01 00:35:47
7,20160101003552,-83.169876,128.88057,1451608553.9171844,62.03383,25.889553,1,408.7391,3.9290245,398.64627,"[6.8289720e-02 3.5941956e+01 7.1883911e+01 1.0782587e+02 1.4376782e+02
 1.7970978e+02 2.1565173e+02 2.5159369e+02 2.8753564e+02 3.2347760e+02
 3.5941956e+02 3.9536151e+02 4.3130347e+02 4.6724545e+02 5.0318738e+02
 5.3912933e+02 5.7507129e+02 6.1101324e+02 6.4695520e+02 6.8289716e+02]","[390.58685 393.67245 395.00882 396.03424 396.89874 397.66037 398.34866
 398.98328 399.57285 400.10803 400.15045 400.1827  400.21536 400.24844
 400.28192 400.31577 400.34988 400.38428 400.4189  400.45367]","[0.02641981 0.05282686 0.05278495 0.05273701 0.05270448 0.05267982
 0.05265987 0.05264308 0.05262844 0.05261531 0.05260304 0.05259125
 0.05258065 0.05257093 0.05256088 0.05255003 0.05253907 0.05252866
 0.05251882 0.02625705]",2016-01-01 00:35:52
8,20160101003556,-83.165985,128.95,1451608558.4097772,62.023613,25.040377,1,416.30786,3.9813068,398.6465,"[6.8154261e-02 3.5870667e+01 7.1741333e+01 1.0761199e+02 1.4348267e+02
 1.7935333e+02 2.1522398e+02 2.5109465e+02 2.8696533e+02 3.2283600e+02
 3.5870667e+02 3.9457730e+02 4.3044797e+02 4.6631866e+02 5.0218930e+02
 5.3806000e+02 5.7393066e+02 6.0980127e+02 6.4567200e+02 6.8154266e+02]","[390.58688 393.67264 395.0091  396.03458 396.89908 397.66077 398.3491
 398.98373 399.57333 400.10858 400.15054 400.18277 400.21545 400.24854
 400.282   400.31586 400.35    400.3844  400.419   400.4538 ]","[0.02642058 0.05282844 0.05278656 0.05273864 0.05270611 0.05268145
 0.05266147 0.05264462 0.05262987 0.05261656 0.05260399 0.05259177
 0.0525808  0.05257081 0.05256027 0.05254851 0.05253651 0.05252487
 0.05251384 0.02625432]",2016-01-01 00:35:56
9,20160101003610,-80.97707,120.375404,1451608572.3550649,61.51868,1.7685659,1,409.69833,3.9200432,398.67548,"[6.6461578e-02 3.4979778e+01 6.9959557e+01 1.0493932e+02 1.3991911e+02
 1.7489890e+02 2.0987865e+02 2.4485843e+02 2.7983823e+02 3.1481799e+02
 3.4979779e+02 3.8477756e+02 4.1975729e+02 4.5473709e+02 4.8971686e+02
 5.2469666e+02 5.5967645e+02 5.9465619e+02 6.2963599e+02 6.6461578e+02]","[390.58813 393.70142 395.04977 396.0844  396.95663 397.7251  398.41983
 399.05875 399.65332 400.13983 400.16974 400.19968 400.2296  400.25955
 400.28952 400.3195  400.34946 400.3795  400.40945 400.43945]","[0.02641883 0.05282498 0.0527831  0.05273519 0.05270281 0.05267835
 0.0526586  0.05264197 0.05262737 0.05261418 0.05260213 0.05259093
 0.05258063 0.05257101 0.05256144 0.0525515  0.05254146 0.05253241
 0.05252362 0.02625949]",2016-01-01 00:36:10
