,latitude,longitude,time,sensor_zenith_angle,xco2,xco2_uncertainty,xco2_apriori,dates
0,-24.553658,172.7425,1451695945.2100575,24.090277,398.15314,1.3915493,399.66754,2016-01-02 00:52:23
1,-24.547958,172.74211,1451695949.9356806,24.628723,399.34375,1.419487,399.66754,2016-01-02 00:52:28
2,-24.544949,172.7403,1451695954.4291587,25.432869,399.25946,1.4963825,399.66757,2016-01-02 00:52:32
3,-77.64792,117.06473,1451696871.832189,26.95575,404.99014,3.3346617,398.85254,2016-01-02 01:07:50
4,-83.17064,120.690865,1451696917.927493,25.893877,409.90796,4.2980876,398.57144,2016-01-02 01:08:36
5,-83.16635,120.76686,1451696922.4199653,25.042412,415.6553,4.1685386,398.572,2016-01-02 01:08:40
6,-80.979805,112.158226,1451696931.6390662,1.168238,406.49915,3.947187,398.6405,2016-01-02 01:08:50
7,-78.75893,105.90958,1451696945.5833883,24.452232,407.96097,2.9670565,398.75854,2016-01-02 01:09:04
8,-78.75708,105.91858,1451696950.0769467,25.179392,410.18045,2.928093,398.75858,2016-01-02 01:09:08
9,-79.387474,92.767204,1451696964.0216708,24.95109,407.41354,2.9721656,398.7527,2016-01-02 01:09:22
10,-84.23972,100.19661,1451696982.4594707,24.29361,417.13174,3.8064878,398.47015,2016-01-02 01:09:40
11,-84.2322,100.40878,1451696991.6785717,25.59879,416.69498,3.6487834,398.4705,2016-01-02 01:09:50
12,-84.3439,74.11174,1451696996.1721704,26.926003,408.03207,2.7212317,398.37814,2016-01-02 01:09:54
13,-81.90872,78.05791,1451697010.116452,4.056314,409.72604,3.2569854,398.5712,2016-01-02 01:10:08
14,-81.90984,78.09332,1451697014.6093667,1.1469012,407.53735,3.2779503,398.57138,2016-01-02 01:10:13
15,-81.91077,78.14277,1451697019.3355532,1.7953275,405.86612,3.2208574,398.5716,2016-01-02 01:10:17
16,-81.26146,61.223377,1451697051.4854894,4.0489445,411.70325,3.3032413,398.5923,2016-01-02 01:10:50
17,-81.265236,61.26467,1451697056.2116756,1.1172947,407.74484,2.837612,398.59213,2016-01-02 01:10:54
18,-81.26769,61.29829,1451697060.704671,1.8115253,403.34253,2.8882952,398.59198,2016-01-02 01:10:59
19,-76.419235,44.50307,1451697120.7441761,26.906675,407.6056,4.111476,398.9397,2016-01-02 01:11:59
20,-76.421906,44.500698,1451697125.2366886,25.816118,406.68973,4.1255426,398.9397,2016-01-02 01:12:03
21,-76.42465,44.502018,1451697129.9632773,24.924284,406.2912,4.151508,398.93967,2016-01-02 01:12:08
22,-78.36024,37.39321,1451697143.674971,1.8621304,401.37912,4.3986983,398.87653,2016-01-02 01:12:22
23,-77.67321,20.178482,1451697162.112771,26.893673,407.98483,6.1859536,399.0255,2016-01-02 01:12:40
24,-77.679985,20.181536,1451697166.8383539,25.857975,402.1316,6.441802,399.02557,2016-01-02 01:12:45
25,-77.6908,20.197248,1451697171.3319123,25.01544,399.87646,6.2723303,399.02567,2016-01-02 01:12:49
26,-76.42609,29.743706,1451697176.0580585,3.9978738,408.96384,5.550456,398.97168,2016-01-02 01:12:54
27,-76.43757,29.773367,1451697185.2761939,1.8736293,397.11826,5.432998,398.97156,2016-01-02 01:13:03
28,-74.72127,36.93363,1451697189.770195,23.968363,407.53986,5.734213,399.0286,2016-01-02 01:13:08
29,-74.723305,36.943287,1451697194.495295,24.448544,407.5095,5.5665803,399.02853,2016-01-02 01:13:12
30,-74.72503,36.95337,1451697198.9888535,25.188143,403.19766,5.2318573,399.0285,2016-01-02 01:13:17
31,-72.79315,30.87873,1451697203.7144363,26.890196,405.09808,7.754993,399.23767,2016-01-02 01:13:22
32,-72.79506,30.872593,1451697208.2079544,25.802416,406.9736,7.621981,399.23755,2016-01-02 01:13:26
33,-72.79814,30.87166,1451697212.9334972,24.909914,403.70605,7.519214,399.2371,2016-01-02 01:13:31
34,-74.34486,24.030302,1451697222.1522763,1.0364267,402.06116,6.543558,399.05722,2016-01-02 01:13:40
35,-75.45776,15.506126,1451697231.3713372,24.334637,405.09482,5.55234,399.01596,2016-01-02 01:13:49
36,-75.46766,15.523483,1451697235.8643725,24.876842,399.96988,5.4322553,399.01596,2016-01-02 01:13:54
37,-75.47829,15.544676,1451697240.590559,25.675772,405.6714,5.1574855,399.01596,2016-01-02 01:13:59
38,28.012962,162.52704,1451700951.0053158,3.653247,398.4109,4.658352,401.17493,2016-01-02 02:15:49
39,28.013632,162.52615,1451700955.7308583,0.66677696,401.0627,5.270584,401.17493,2016-01-02 02:15:54
40,15.414838,159.58452,1451701163.0390882,0.663955,402.43652,3.6598396,400.74802,2016-01-02 02:19:21
41,-37.053333,144.50438,1451702015.9008875,26.973885,402.1257,0.75752974,399.30814,2016-01-02 02:33:34
42,43.47012,143.66733,1451706565.2960062,16.771065,399.9641,2.5039716,400.37704,2016-01-02 03:49:23
43,39.9878,141.30171,1451706620.6093655,18.102219,394.05692,3.9765332,400.33017,2016-01-02 03:50:19
44,36.219135,137.92273,1451706699.086751,21.5596,400.57062,1.6761842,400.50864,2016-01-02 03:51:37
45,35.62347,138.53255,1451706735.9622703,13.660161,404.74536,1.5388172,400.74936,2016-01-02 03:52:14
46,35.38236,136.69243,1451706740.4547825,25.856432,403.87555,1.3006319,400.91806,2016-01-02 03:52:19
47,35.151196,136.90144,1451706745.180969,24.123796,403.20987,1.5969559,400.91296,2016-01-02 03:52:23
48,7.8406897,133.40286,1451707178.468661,0.67635787,399.82822,2.6935487,400.24512,2016-01-02 03:59:36
49,-1.8262489,132.01778,1451707302.8070734,21.59849,398.30478,1.5605973,400.0582,2016-01-02 04:01:41
50,-11.8516035,130.91734,1451707464.253673,25.698175,398.88342,1.1126068,399.79922,2016-01-02 04:04:22
51,-15.49137,131.00175,1451707533.2786858,26.854921,398.81754,0.78288704,399.74402,2016-01-02 04:05:31
52,-15.488054,131.00182,1451707538.0042686,25.751192,398.83032,0.8403838,399.74414,2016-01-02 04:05:36
53,-15.482733,131.00206,1451707542.497787,24.86002,399.013,0.8181227,399.7443,2016-01-02 04:05:41
54,-14.903151,128.58069,1451707547.2239733,3.8476899,400.48517,0.7222108,399.76007,2016-01-02 04:05:45
55,-14.899085,128.57982,1451707551.7169685,0.8368937,400.0885,0.7967635,399.7601,2016-01-02 04:05:50
56,-14.895823,128.5789,1451707556.4420686,2.1716003,400.80896,0.72975016,399.7493,2016-01-02 04:05:54
57,-14.496986,126.13116,1451707560.9350636,24.117287,398.49222,0.7391837,399.7582,2016-01-02 04:05:59
58,-14.49218,126.13023,1451707565.6612098,24.67314,398.15506,0.7451976,399.7582,2016-01-02 04:06:04
59,-14.487875,126.128845,1451707570.1547682,25.49851,399.1082,0.7333663,399.7582,2016-01-02 04:06:08
60,-17.030731,125.54261,1451707579.3729038,25.825386,399.26517,0.8797689,399.72015,2016-01-02 04:06:17
61,-17.025734,125.54279,1451707584.09909,24.914772,400.27817,0.9055275,399.72018,2016-01-02 04:06:22
62,-17.426346,128.0204,1451707588.5919645,3.8793595,403.5313,0.92569804,399.7158,2016-01-02 04:06:27
63,-17.421358,128.0205,1451707593.318151,0.86046815,401.95215,0.9662455,399.71594,2016-01-02 04:06:31
64,-17.417974,128.01953,1451707597.8111863,2.1451695,402.43823,1.0571611,399.71606,2016-01-02 04:06:36
65,-17.985518,130.47589,1451707602.5362864,24.132301,400.28262,0.9186708,399.7103,2016-01-02 04:06:40
66,-17.978737,130.47552,1451707607.029885,24.702047,399.97275,0.8395602,399.71033,2016-01-02 04:06:45
67,-17.972868,130.47464,1451707611.7553473,25.535439,400.1798,0.9555228,399.71036,2016-01-02 04:06:50
68,-20.5371,129.94646,1451707616.2489862,26.87681,399.26263,0.641951,399.68515,2016-01-02 04:06:54
69,-20.533184,129.9468,1451707620.974569,25.773397,399.72678,0.647334,399.68515,2016-01-02 04:06:59
70,-20.53148,129.94652,1451707625.4670813,24.8941,399.16025,0.6515276,399.68515,2016-01-02 04:07:04
71,-24.550581,123.65346,1451707726.8756642,24.089455,399.76303,0.81774044,399.69406,2016-01-02 04:08:45
72,-24.545357,123.65303,1451707731.6007643,24.626387,400.0497,0.8277646,399.69412,2016-01-02 04:08:50
73,-24.541922,123.651344,1451707736.0944033,25.431639,405.27585,0.8722365,399.69415,2016-01-02 04:08:54
74,-28.059649,128.31181,1451707768.476887,24.152418,401.44394,0.57369775,399.65994,2016-01-02 04:09:26
75,-28.044754,128.31085,1451707777.6949823,25.52747,402.4198,0.5687197,399.65988,2016-01-02 04:09:36
76,-30.61001,127.742294,1451707782.188581,26.923742,400.92816,0.6885493,399.5195,2016-01-02 04:09:40
77,-30.605654,127.74321,1451707786.9141638,25.825281,400.8842,0.6051433,399.5195,2016-01-02 04:09:45
78,-30.601593,127.74368,1451707791.407682,24.941372,401.79602,0.617406,399.5195,2016-01-02 04:09:49
79,-30.006495,125.0195,1451707796.1328626,3.9839032,401.75662,0.76701105,399.67105,2016-01-02 04:09:54
80,-30.001293,125.01926,1451707800.6257772,0.9863634,405.83807,1.0168867,399.67105,2016-01-02 04:09:59
81,-29.997494,125.018555,1451707805.3519635,2.000417,402.49994,0.8573076,399.67102,2016-01-02 04:10:03
82,-76.1557,77.22014,1451708639.543858,23.989515,405.77716,3.1556444,398.9338,2016-01-02 04:23:58
83,-76.15361,77.225365,1451708644.2700446,24.45524,407.7491,3.1233714,398.9338,2016-01-02 04:24:02
84,-81.42299,86.029335,1451708690.3642626,25.57593,413.7111,2.6060266,398.5409,2016-01-02 04:24:48
85,-83.16934,71.64297,1451708699.5833635,25.887508,405.7956,2.7851655,398.49304,2016-01-02 04:24:58
86,-78.75909,56.840652,1451708727.240385,24.45497,400.42813,2.2952023,398.87375,2016-01-02 04:25:25
87,-78.75673,56.855415,1451708731.7333803,25.186546,403.41858,2.602094,398.8738,2016-01-02 04:25:30
88,-84.237335,51.24895,1451708768.6083765,24.81713,378.48105,2.2631395,398.40662,2016-01-02 04:26:07
89,-84.233025,51.363094,1451708773.3345628,25.599802,379.6377,2.309539,398.4065,2016-01-02 04:26:11
90,-84.34649,25.051243,1451708777.827598,26.9257,379.8511,1.6321584,398.57193,2016-01-02 04:26:16
91,-84.350105,25.122478,1451708782.5536637,25.878906,378.17627,1.7116287,398.57178,2016-01-02 04:26:20
92,-84.35359,25.216167,1451708787.0472624,25.032513,378.96667,1.8946735,398.57156,2016-01-02 04:26:25
93,-78.89768,16.486961,1451708819.4287806,26.926132,374.46228,2.0626533,398.917,2016-01-02 04:26:57
94,-78.90271,16.496962,1451708828.647922,24.940098,374.0543,2.0641189,398.91702,2016-01-02 04:27:07
95,-83.45634,3.2440948,1451708847.0856814,24.308962,388.17798,1.6262223,398.76645,2016-01-02 04:27:25
96,-83.466835,3.4188,1451708856.304863,25.621601,382.59897,1.353835,398.76584,2016-01-02 04:27:34
97,-81.81222,-12.353945,1451708860.7979388,26.912281,394.7136,2.4131217,399.00732,2016-01-02 04:27:39
98,-81.820465,-12.322963,1451708865.5229986,25.86438,395.11972,2.1971788,399.00693,2016-01-02 04:27:43
99,-81.82831,-12.289735,1451708870.0166373,25.025282,395.58557,2.449939,399.0066,2016-01-02 04:27:48
100,-80.019806,-1.4489611,1451708879.2346926,1.0992543,392.64816,1.6429543,398.85095,2016-01-02 04:27:57
101,-80.023674,-1.4208297,1451708883.960235,1.8362001,393.65317,1.5448111,398.8509,2016-01-02 04:28:02
102,-77.869644,4.960124,1451708888.4537935,23.974789,381.1572,2.2154212,398.96973,2016-01-02 04:28:07
103,-77.87038,4.971398,1451708893.1799798,24.449451,382.4314,2.549795,398.9697,2016-01-02 04:28:11
104,-77.87121,4.9867816,1451708897.6728945,25.184763,381.06012,2.1857994,398.96964,2016-01-02 04:28:16
105,-76.421585,-4.5865574,1451708902.3991213,26.915686,409.64767,5.6195025,399.01932,2016-01-02 04:28:20
106,-76.42492,-4.5857224,1451708906.892076,25.820124,409.25836,5.320858,399.01938,2016-01-02 04:28:25
107,-76.426575,-4.5906386,1451708911.6171763,24.932335,404.727,5.1034946,399.0194,2016-01-02 04:28:30
108,-78.35354,-11.732243,1451708916.1108553,4.006454,400.97916,5.003192,399.0219,2016-01-02 04:28:34
109,-78.359116,-11.713095,1451708920.8362772,1.0797958,403.0983,5.1239595,399.02188,2016-01-02 04:28:39
110,-78.36389,-11.693088,1451708925.329876,1.8577057,401.51743,4.583248,399.02185,2016-01-02 04:28:43
111,-79.89056,-22.109274,1451708930.055499,24.32015,394.32785,4.5219088,399.25113,2016-01-02 04:28:48
112,-79.89855,-22.077436,1451708934.5479712,24.853333,390.27728,4.431071,399.25012,2016-01-02 04:28:53
113,-79.907555,-22.037346,1451708939.2741978,25.643051,397.5243,4.6460733,399.24884,2016-01-02 04:28:57
114,-74.72452,-12.152958,1451708971.4240134,23.970345,396.831,7.406163,399.19174,2016-01-02 04:29:29
115,-74.72689,-12.143133,1451708976.15024,24.448725,395.4318,7.248373,399.19156,2016-01-02 04:29:34
116,-74.73008,-12.127677,1451708980.6432352,25.193727,398.29608,7.212177,399.1913,2016-01-02 04:29:39
117,50.494255,120.54575,1451712359.4922588,3.7521405,405.62018,4.3980756,399.72412,2016-01-02 05:25:57
118,50.493465,120.543236,1451712363.9858575,0.8037977,400.6062,4.23251,399.72488,2016-01-02 05:26:02
119,50.493618,120.54163,1451712368.7114,2.1732733,402.33472,4.183301,399.72415,2016-01-02 05:26:07
120,48.45331,116.00176,1451712396.3683412,24.90675,383.3229,5.2630377,399.84393,2016-01-02 05:26:34
121,48.017113,119.53842,1451712400.8614168,3.744964,399.82214,6.2685394,399.76083,2016-01-02 05:26:39
122,48.01799,119.53774,1451712405.5875227,0.77421623,396.9505,5.5787535,399.76135,2016-01-02 05:26:44
123,48.01717,119.5358,1451712410.0799947,2.1954818,397.8564,5.919123,399.76157,2016-01-02 05:26:48
124,47.26699,122.92454,1451712414.8065434,24.060814,403.84683,3.7833946,400.3737,2016-01-02 05:26:53
125,47.265606,122.92323,1451712419.2991362,24.6173,405.0572,3.6289732,400.37372,2016-01-02 05:26:57
126,47.26358,122.92173,1451712424.024719,25.430805,404.5144,3.7993329,400.37387,2016-01-02 05:27:02
127,43.453274,114.511894,1451712470.1195002,26.844328,403.32834,3.4029088,399.94583,2016-01-02 05:27:48
128,43.45541,114.509766,1451712474.6124954,25.761457,408.32175,3.057854,399.9445,2016-01-02 05:27:53
129,43.455643,114.507256,1451712479.338722,24.900116,408.07416,3.4272373,399.94424,2016-01-02 05:27:57
130,43.045883,117.74359,1451712483.8316367,3.7024179,408.02182,3.0223963,399.57782,2016-01-02 05:28:02
131,43.04495,117.74201,1451712488.557823,0.7466353,410.60843,3.0010006,399.576,2016-01-02 05:28:06
132,43.045452,117.740524,1451712493.050295,2.2431552,409.32404,3.1354177,399.57806,2016-01-02 05:28:11
133,42.3373,120.86026,1451712497.775878,24.064695,403.00043,1.6096629,400.59824,2016-01-02 05:28:16
134,42.33635,120.859116,1451712502.2694767,24.62944,403.24313,1.4938917,400.59796,2016-01-02 05:28:20
135,42.335392,120.85797,1451712506.9950595,25.453655,403.4241,1.527754,400.59763,2016-01-02 05:28:25
136,40.96109,113.813866,1451712539.1455994,24.192776,406.4529,2.3804908,399.9501,2016-01-02 05:28:57
137,40.963737,113.81334,1451712543.870096,24.751907,406.14117,2.333953,399.95032,2016-01-02 05:29:02
138,40.96592,113.812546,1451712548.3636544,25.574036,408.48282,2.32783,399.95026,2016-01-02 05:29:06
139,38.44246,113.16804,1451712553.0897603,26.842411,404.87997,2.038006,400.05176,2016-01-02 05:29:11
140,38.444885,113.16602,1451712557.5827553,25.756853,405.18942,2.1002645,400.04382,2016-01-02 05:29:16
141,38.44533,113.16369,1451712562.3079762,24.894339,406.70782,2.0670764,400.0357,2016-01-02 05:29:20
