,latitude,longitude,time,sensor_zenith_angle,xco2,xco2_uncertainty,xco2_apriori,dates
0,-74.41187,149.92033,1451779261.9673967,26.973312,414.43265,3.027307,398.7797,2016-01-03 00:01:00
1,-76.15395,142.67378,1451779335.7196019,24.454754,387.44876,1.7146162,398.80612,2016-01-03 00:02:14
2,-77.6495,133.44223,1451779349.4312956,25.861544,408.12427,3.4071782,398.88242,2016-01-03 00:02:27
3,-77.64939,133.45648,1451779354.1573615,24.962067,404.02103,3.0090225,398.8825,2016-01-03 00:02:32
4,-79.6042,141.18369,1451779358.6503565,4.101133,410.62518,3.6523545,398.8896,2016-01-03 00:02:37
5,-79.60034,141.21538,1451779363.376583,1.1705225,405.83426,3.6076148,398.88962,2016-01-03 00:02:41
6,-79.59777,141.23227,1451779367.8694577,1.7412611,417.15277,3.6299589,398.88965,2016-01-03 00:02:46
7,-80.9819,128.49672,1451779400.2526655,4.080821,420.32617,4.31764,398.72018,2016-01-03 00:03:18
8,-80.98043,128.52176,1451779404.7455802,1.1791421,412.56668,4.134932,398.72037,2016-01-03 00:03:23
9,-78.76125,122.26318,1451779413.964279,23.983105,403.76825,3.1766055,398.84418,2016-01-03 00:03:32
10,-78.75669,122.30035,1451779423.1835008,25.187231,405.17905,2.5307605,398.84427,2016-01-03 00:03:41
11,-79.38524,109.10551,1451779427.908963,26.945978,407.90607,2.9697206,398.7283,2016-01-03 00:03:46
12,-79.38722,109.11325,1451779432.4026017,25.85171,407.14575,3.0550694,398.72833,2016-01-03 00:03:50
13,-79.38847,109.13057,1451779437.128748,24.95244,413.8457,3.1463544,398.72836,2016-01-03 00:03:55
14,-81.80734,112.38589,1451779441.6216626,4.0817432,410.66907,4.492878,398.5564,2016-01-03 00:04:00
15,-81.80659,112.440926,1451779446.3478491,1.1433176,405.2061,4.255082,398.55667,2016-01-03 00:04:04
16,-81.805695,112.47576,1451779450.8408442,1.7787033,402.03723,4.2458386,398.55685,2016-01-03 00:04:09
17,-81.9094,94.423706,1451779483.2239718,4.058921,411.70892,3.1796625,398.27487,2016-01-03 00:04:41
18,-81.9116,94.5172,1451779492.4430728,1.8059105,410.63297,3.0066764,398.27515,2016-01-03 00:04:50
19,-78.895966,81.92744,1451779510.8813956,26.925451,408.65784,3.710158,398.587,2016-01-03 00:05:09
20,-78.89806,81.9232,1451779515.3738678,25.838459,408.22754,3.8000286,398.5869,2016-01-03 00:05:13
21,-78.90077,81.93382,1451779520.1000943,24.94062,412.6613,3.7689183,398.58676,2016-01-03 00:05:18
22,-81.26271,77.59294,1451779524.5930896,4.0414996,408.05145,3.1774688,398.31198,2016-01-03 00:05:23
23,-81.26612,77.63062,1451779529.3191552,1.1160537,409.59735,3.0237765,398.312,2016-01-03 00:05:27
24,-81.26847,77.66345,1451779533.8121905,1.8116845,405.16525,2.7868574,398.31207,2016-01-03 00:05:32
25,-81.809494,53.099712,1451779552.2499905,26.908834,401.71725,3.7614634,398.2571,2016-01-03 00:05:50
26,-77.86755,70.403725,1451779579.9073741,23.97294,373.9266,1.6888145,398.76465,2016-01-03 00:06:18
27,-76.42591,60.865097,1451779603.0713603,24.922272,368.39847,1.7505519,398.87918,2016-01-03 00:06:41
28,-78.35065,53.715965,1451779607.5643554,4.0033784,403.42865,5.5439825,398.61508,2016-01-03 00:06:46
29,-78.35601,53.73433,1451779612.2904613,1.0785401,402.44064,5.4134912,398.61514,2016-01-03 00:06:50
30,-78.360085,53.751244,1451779616.7834566,1.8499435,405.11954,5.6994467,398.61523,2016-01-03 00:06:55
31,-79.88666,43.341198,1451779621.5086772,24.321089,404.54108,4.049589,398.41992,2016-01-03 00:06:59
