,latitude,longitude,time,sensor_zenith_angle,xco2,xco2_uncertainty,xco2_apriori,dates
0,31.881119,-163.96313,1451865805.0789924,21.582556,400.18002,4.3864064,400.64386,2016-01-04 00:03:23
1,31.323023,-164.11047,1451865814.298174,21.58815,401.128,3.5137048,400.63315,2016-01-04 00:03:32
2,29.372656,-164.61633,1451865846.6806576,21.571653,399.14197,3.0009308,400.47952,2016-01-04 00:04:05
3,22.948217,-166.19841,1451865952.5827587,21.585066,400.38028,3.6980104,401.06412,2016-01-04 00:05:51
4,-11.337398,-173.9372,1451866528.8864522,15.541922,398.4808,1.1772419,399.78476,2016-01-04 00:15:27
5,-11.594014,-173.99422,1451866533.3800912,15.326133,398.62564,1.2909174,399.78976,2016-01-04 00:15:31
6,-16.443056,-175.0922,1451866621.0764573,11.141181,399.91418,0.9273415,399.72205,2016-01-04 00:16:59
7,-16.698185,-175.15112,1451866625.5694926,10.933532,396.95602,1.0810729,399.71893,2016-01-04 00:17:04
8,-16.954468,-175.21056,1451866630.2945926,10.738832,400.1007,0.9983969,399.7159,2016-01-04 00:17:08
9,-17.722464,-175.38934,1451866644.0072923,10.157816,399.21426,1.0620351,399.71817,2016-01-04 00:17:22
10,-17.974981,-175.44847,1451866648.7328753,9.940544,399.82013,1.0601984,399.71564,2016-01-04 00:17:27
11,-29.94188,-178.45856,1451866865.2633042,7.8034034,400.89517,1.111721,399.67307,2016-01-04 00:21:03
12,-30.702684,-178.66809,1451866879.2085915,8.259377,401.42892,0.9132744,399.68665,2016-01-04 00:21:17
13,-30.95675,-178.7386,1451866883.7015867,8.417024,400.59946,1.0987247,399.64856,2016-01-04 00:21:22
14,-31.968723,-179.02269,1451866902.1393867,9.113549,401.07047,0.8812366,399.637,2016-01-04 00:21:40
15,-32.22173,-179.09447,1451866906.8649695,9.295664,399.57645,0.91765225,398.9867,2016-01-04 00:21:45
16,-32.474834,-179.1666,1451866911.3585682,9.48013,399.7107,1.2301952,398.98828,2016-01-04 00:21:49
17,-32.727406,-179.23907,1451866916.084674,9.671836,399.376,0.9593806,398.98975,2016-01-04 00:21:54
18,-38.525314,176.2902,1451867003.5489752,26.946087,388.94757,0.80672944,399.23428,2016-01-04 00:23:22
19,-40.76682,178.24455,1451867063.5884807,16.725668,397.9295,1.667917,399.26202,2016-01-04 00:24:22
20,-43.753494,177.1764,1451867118.9018397,19.590654,397.8577,1.3753976,399.40762,2016-01-04 00:25:17
21,-44.497944,176.89561,1451867132.6145797,20.308437,398.36832,1.337182,399.34695,2016-01-04 00:25:31
22,-81.43434,143.23195,1451867741.0677671,24.799883,412.5599,3.4087868,398.79712,2016-01-04 00:35:39
23,-81.42536,143.27332,1451867745.7943962,25.575197,413.84476,3.3284183,398.7976,2016-01-04 00:35:44
24,-78.76139,114.07379,1451867777.943769,23.981913,408.09714,2.5067894,398.75116,2016-01-04 00:36:16
25,-78.75926,114.093475,1451867782.669392,24.4525,409.41245,2.3662038,398.7512,2016-01-04 00:36:21
26,-79.3867,100.93175,1451867796.382092,25.847988,408.416,2.4465137,398.69714,2016-01-04 00:36:34
27,-81.80657,104.24611,1451867810.3263736,1.1527306,399.26907,2.716642,398.58426,2016-01-04 00:36:48
28,-84.240036,108.371284,1451867819.5454745,24.292671,405.71777,2.3805563,398.60672,2016-01-04 00:36:57
29,-84.23668,108.47912,1451867824.0390732,24.818594,405.16718,2.3483267,398.60706,2016-01-04 00:37:02
30,-84.23262,108.584785,1451867828.765662,25.598635,403.2657,2.3035889,398.60736,2016-01-04 00:37:07
31,-84.34405,82.29153,1451867833.2581744,26.926245,407.3944,3.0472412,398.5507,2016-01-04 00:37:11
32,-84.3474,82.34737,1451867837.9837976,25.884806,406.50418,3.3443675,398.55087,2016-01-04 00:37:16
33,-84.35094,82.44424,1451867842.477396,25.036345,411.19052,3.3754683,398.55115,2016-01-04 00:37:21
34,-81.90892,86.23882,1451867847.203462,4.0543647,406.16708,3.18144,398.5189,2016-01-04 00:37:25
35,-81.910126,86.27695,1451867851.696457,1.1408883,407.16345,3.056076,398.51913,2016-01-04 00:37:30
36,-81.911064,86.32571,1451867856.421557,1.7999351,408.45203,3.0843272,398.51938,2016-01-04 00:37:34
37,-81.26485,69.43692,1451867893.2976797,1.1296271,405.61972,3.4944444,398.4766,2016-01-04 00:38:11
38,-83.452446,60.494083,1451867902.5169015,24.308846,400.0694,3.0053523,398.47903,2016-01-04 00:38:20
39,-83.45747,60.575047,1451867907.0103793,24.835152,403.84152,2.9287755,398.479,2016-01-04 00:38:25
40,-76.41925,52.68249,1451867957.8301802,26.906906,407.45752,6.068094,398.70422,2016-01-04 00:39:16
41,-76.42124,52.67659,1451867962.3237789,25.819723,404.00232,5.8638234,398.7041,2016-01-04 00:39:20
42,-76.42416,52.678265,1451867967.0503676,24.925821,401.83386,5.3401046,398.70404,2016-01-04 00:39:25
43,-78.348946,45.529568,1451867971.5428398,4.0145664,408.02097,5.832828,398.54266,2016-01-04 00:39:30
44,-78.35477,45.549248,1451867976.2689857,1.0848267,405.17285,5.7654705,398.54266,2016-01-04 00:39:34
45,-78.359055,45.56772,1451867980.761981,1.8471895,400.24606,5.1914573,398.5427,2016-01-04 00:39:39
46,-79.88557,35.15678,1451867985.4871616,24.320723,404.37122,3.728503,398.49738,2016-01-04 00:39:43
47,-79.89495,35.194347,1451867989.9806798,24.856924,405.08228,3.679065,398.4974,2016-01-04 00:39:48
48,-79.90423,35.23515,1451867994.7072685,25.649044,403.4609,3.5894396,398.49744,2016-01-04 00:39:53
49,-77.67279,28.359062,1451867999.199781,26.893894,402.5829,4.562256,398.59555,2016-01-04 00:39:57
50,-77.68012,28.3634,1451868003.925404,25.856123,403.75632,4.505621,398.59564,2016-01-04 00:40:02
51,-77.6893,28.375097,1451868008.4189625,25.018532,403.5539,4.600127,398.59576,2016-01-04 00:40:06
52,-76.425644,37.92304,1451868013.1450682,4.000989,401.38232,4.5701413,398.77048,2016-01-04 00:40:11
53,-74.72013,45.110516,1451868026.857245,23.967957,398.9649,5.438713,398.8241,2016-01-04 00:40:25
54,-74.723015,45.122765,1451868031.583351,24.44848,400.69272,5.6919675,398.82404,2016-01-04 00:40:30
55,-74.725845,45.136868,1451868036.0759034,25.192228,410.23853,5.3895807,398.82397,2016-01-04 00:40:34
56,-72.793304,39.05994,1451868040.8014865,26.888786,399.29272,7.2873306,399.01102,2016-01-04 00:40:39
57,-72.79535,39.05403,1451868045.295045,25.800423,400.64606,7.20703,399.01086,2016-01-04 00:40:43
