,latitude,longitude,time,sensor_zenith_angle,xco2,xco2_uncertainty,xco2_apriori
0,23.504967,-166.05592,1452125145.0103595,21.568222,399.46725,2.6736422,401.13806
1,23.225054,-166.1228,1452125149.7369483,21.571768,401.52148,3.116118,401.12808
2,22.386063,-166.32222,1452125163.4486423,21.575996,401.7732,2.9948204,401.09692
3,22.107697,-166.38802,1452125168.1748285,21.564453,398.9562,3.0837357,401.08636
4,20.987347,-166.65157,1452125186.612065,21.583643,398.81287,3.3930206,401.04126
5,20.707245,-166.71706,1452125191.1055832,21.587837,400.34738,2.8777373,401.008
6,20.427492,-166.78233,1452125195.8311663,21.588968,400.22195,2.7562249,400.99658
7,20.14672,-166.84772,1452125200.3247647,21.599249,398.37112,2.430634,400.9845
8,-9.011069,-173.40373,1452125688.9329777,17.226086,400.6143,0.7786527,399.83383
9,-9.265234,-173.45953,1452125693.6581583,16.984608,397.77762,0.8017485,399.82758
10,-17.43696,-175.30334,1452125841.162488,9.942599,403.26456,0.84075916,399.68915
11,-17.691545,-175.36275,1452125845.655483,9.740141,401.18512,0.7297528,399.68622
12,-17.945625,-175.42212,1452125850.3816695,9.535674,402.87982,0.65143996,399.68335
13,-18.45662,-175.54202,1452125859.6007705,9.160095,399.188,0.9662749,399.6879
14,-18.713121,-175.60248,1452125864.0943692,8.985294,400.26163,0.88872147,399.69586
15,-18.966963,-175.66243,1452125868.819952,8.792924,400.04065,1.1580503,399.6934
16,-19.222538,-175.72296,1452125873.3124642,8.61836,400.32645,1.2051152,399.69107
17,-19.47782,-175.78354,1452125878.0380473,8.444928,398.65176,1.0836157,399.67828
18,-19.733702,-175.84442,1452125882.5316057,8.279917,399.63147,0.88036937,399.6761
19,-19.987991,-175.90512,1452125887.257752,8.107988,400.07758,0.86493206,399.67398
20,-20.24397,-175.96635,1452125891.750747,7.9530277,398.59088,1.0267434,399.68243
21,-20.497766,-176.02733,1452125896.476853,7.7885027,400.25238,1.1294999,399.68048
22,-21.518158,-176.27391,1452125914.9151757,7.2227173,398.56485,1.1886176,399.6629
23,-21.773857,-176.33614,1452125919.4076881,7.1008677,396.7379,1.2057695,399.66135
24,-22.028704,-176.39842,1452125924.1338744,6.981635,397.92407,1.3357484,399.65985
25,-23.04813,-176.64906,1452125942.5721169,6.581048,397.4059,1.2885408,399.65503
26,-23.303644,-176.71242,1452125947.0646694,6.5054526,398.17197,1.3561314,399.654
27,-23.558004,-176.77574,1452125951.7902522,6.4351516,397.94086,1.6244205,399.6531
28,-23.812239,-176.83913,1452125956.2837706,6.3732095,397.79276,1.4421941,399.65225
29,-24.067253,-176.90297,1452125961.0093937,6.3241024,399.07684,1.3361024,399.65146
30,-24.322123,-176.967,1452125965.5029922,6.2844853,396.80533,1.5042545,399.65076
